CCAvg,Income,Personal.Loan
5.0,112,1
6.5,161,1
2.2,184,1
2.8,65,0
4.3,125,1
7.2,149,1
5.0,154,0
1.6,165,1
0.5,125,1
6.0,182,1
3.8,94,1
2.2,50,0
1.0,22,0
3.4,85,0
3.6,93,1
4.4,191,1
7.0,165,1
3.4,91,1
4.33,141,0
1.2,131,1
1.3,163,1
0.3,131,1
2.5,73,0
0.8,113,0
10.0,203,1
1.8,112,0
0.8,68,0
0.1,21,0
2.6,102,0
5.1,112,1
0.8,182,1
0.2,10,0
1.3,38,0
7.5,185,1
5.6,153,1
1.9,88,0
1.0,29,0
0.2,122,1
4.2,115,1
1.8,53,0
1.1,121,1
1.0,54,0
2.3,142,1
2.2,190,1
6.0,194,1
4.1,135,1
3.6,78,0
0.4,139,1
1.1,130,1
2.6,130,1
4.4,101,1
0.3,28,0
2.8,153,1
4.25,172,1
2.2,185,1
0.3,35,0
0.2,19,0
2.5,41,0
4.1,144,0
5.2,169,1
4.6,99,1
1.8,62,0
1.4,73,0
2.6,90,0
1.0,25,0
4.7,158,1
0.5,109,1
0.7,42,0
0.0,72,0
3.1,84,1
3.9,159,1
0.3,19,0
5.4,178,1
4.3,180,0
3.8,135,1
1.9,71,0
0.1,24,0
0.4,128,0
5.3,128,1
0.2,24,0
0.7,22,0
1.0,98,0
1.8,145,1
5.6,191,1
4.0,83,0
4.1,129,1
4.7,193,1
7.5,118,0
0.3,31,0
6.9,145,1
2.2,131,1
1.1,23,0
2.7,173,1
4.3,139,0
0.2,124,1
4.2,179,1
3.4,161,1
2.8,80,0
2.8,81,0
0.7,121,1
0.7,8,0
5.9,140,1
0.3,115,0
5.0,169,1
0.2,75,0
1.5,39,0
6.9,139,0
1.3,43,0
2.1,179,1
0.4,30,0
4.9,154,1
3.3,118,1
2.9,161,0
2.3,70,0
8.0,160,1
1.6,112,1
0.0,32,0
2.4,41,0
2.7,145,1
0.2,59,0
0.5,13,0
3.0,105,1
1.3,31,0
6.0,145,1
1.3,19,0
1.4,88,0
1.6,63,0
7.0,192,1
1.7,113,1
0.7,21,0
2.6,191,1
0.0,152,0
4.1,181,1
4.8,99,1
0.3,190,1
1.5,142,1
1.1,94,0
0.4,195,1
5.1,165,1
0.7,24,0
1.9,159,1
7.5,154,1
0.5,140,1
2.6,153,1
3.4,85,1
8.3,194,1
4.0,81,0
3.3,162,1
2.5,60,0
6.5,180,1
0.2,25,0
0.3,132,0
6.9,138,1
0.4,60,0
3.0,195,1
0.3,44,0
0.7,65,0
2.5,114,1
4.2,190,1
5.4,144,1
2.5,49,0
0.7,58,0
8.0,184,1
0.8,80,0
1.1,32,0
6.2,170,1
6.33,155,0
1.7,134,1
6.4,192,1
0.8,80,0
0.2,34,0
1.4,21,0
3.6,185,1
1.4,181,1
2.4,58,0
2.5,42,0
1.0,79,0
1.5,34,0
3.0,64,1
1.5,68,0
2.3,49,0
1.8,109,1
2.8,70,0
4.2,184,1
1.7,161,1
6.1,149,1
4.3,172,1
2.1,60,0
1.5,31,0
7.9,170,1
5.7,133,1
2.5,74,0
1.9,171,1
1.9,43,0
8.8,204,0
1.7,89,0
1.9,140,1
0.3,132,0
5.4,150,1
2.6,52,0
0.7,35,0
1.7,191,0
4.25,170,1
0.4,128,0
2.0,30,0
0.4,18,0
1.5,83,0
3.1,133,1
2.0,153,1
0.9,62,0
1.0,35,0
3.1,69,1
1.3,168,1
0.4,85,0
2.1,190,1
3.7,59,0
0.2,113,1
2.67,73,0
2.8,90,0
7.9,168,1
1.8,43,0
2.8,138,1
7.0,188,1
3.1,134,0
1.2,43,0
3.4,82,0
3.4,83,1
4.3,191,1
1.3,45,0
3.7,158,1
1.4,111,0
1.3,190,1
2.0,55,0
1.8,50,0
2.9,143,1
0.7,171,1
3.0,118,1
1.5,54,0
1.2,179,1
2.9,71,0
0.5,49,0
5.5,134,1
0.75,19,0
3.3,121,0
1.2,100,0
2.3,39,0
6.9,188,1
5.0,119,1
0.5,173,1
3.4,114,0
0.5,19,0
3.5,125,1
3.4,100,1
2.6,132,1
4.2,104,1
1.5,121,0
2.2,50,0
4.0,82,0
4.2,120,1
1.4,133,1
3.1,183,1
0.0,10,0
4.7,170,1
6.5,188,0
4.2,129,1
0.8,45,0
0.8,28,0
3.7,95,1
1.5,51,0
1.7,49,0
4.0,134,1
1.4,49,0
5.6,123,1
3.8,101,1
2.7,88,0
1.9,48,0
1.1,111,1
1.4,142,1
1.7,174,1
3.3,182,1
2.8,39,0
2.6,73,0
3.9,101,1
4.5,102,1
5.4,119,1
1.9,129,0
2.8,180,1
0.8,78,0
3.6,63,0
2.0,55,0
5.2,172,1
4.5,179,1
3.8,89,0
0.7,131,1
0.3,111,1
6.9,141,1
1.1,40,0
0.6,113,1
1.8,94,0
1.9,30,0
1.1,49,0
0.7,19,0
1.2,132,1
8.1,193,1
3.9,83,1
4.3,91,1
5.2,129,1
6.6,140,1
3.3,148,0
2.9,115,1
4.6,115,1
0.3,25,0
2.8,91,0
1.3,188,1
3.9,98,1
2.0,45,0
2.2,115,1
0.7,30,0
3.0,183,1
10.0,201,1
3.0,93,1
2.6,131,1
1.0,62,0
5.0,154,1
2.6,98,0
0.9,139,1
3.3,119,1
8.8,183,1
0.2,92,0
6.0,173,0
2.8,38,0
1.3,39,0
5.6,140,1
3.4,139,1
2.0,41,0
0.3,93,0
5.4,184,1
7.2,182,1
3.5,152,1
2.1,38,0
1.7,55,0
2.3,158,1
5.3,111,1
0.4,69,0
6.5,132,1
0.7,11,0
3.7,182,1
0.3,24,0
1.3,40,0
0.4,31,0
4.3,139,0
2.4,40,0
6.3,158,1
1.3,70,0
1.8,110,0
2.7,140,0
0.2,23,0
2.5,85,0
1.4,99,0
4.3,160,1
2.3,45,0
4.1,122,1
1.0,25,0
7.4,152,1
2.0,83,0
4.8,191,1
6.0,118,1
0.7,14,0
1.4,81,0
6.7,170,0
2.6,133,1
4.9,159,1
4.0,141,1
0.2,24,0
1.1,50,0
1.2,98,0
0.3,42,0
8.9,180,1
3.7,82,1
2.0,41,0
0.4,84,0
1.7,28,0
0.3,31,0
4.4,99,1
3.8,115,1
0.8,79,0
0.5,21,0
0.6,28,0
3.8,113,1
2.3,74,0
1.3,115,0
8.6,182,0
2.8,74,0
4.9,179,1
3.6,179,1
3.0,92,1
4.1,110,1
1.8,91,0
4.3,164,1
5.9,132,1
5.67,169,1
6.5,168,1
2.6,179,1
5.3,155,1
5.2,195,1
1.0,45,0
1.1,175,1
2.2,48,0
2.2,73,0
2.6,78,0
0.5,22,0
3.3,175,1
0.4,19,0
1.7,54,0
4.7,102,1
1.6,44,0
4.6,135,1
8.8,203,0
4.1,89,1
0.75,33,0
3.0,122,1
2.3,181,1
2.2,44,0
2.3,54,0
3.4,81,1
3.67,108,1
0.8,30,0
3.5,140,0
4.7,130,1
6.1,152,1
1.8,35,0
0.8,59,0
5.1,184,1
1.0,109,0
2.33,50,0
2.2,138,1
0.2,45,0
3.2,182,1
2.3,72,0
3.8,83,1
0.3,12,0
1.6,54,0
4.1,168,1
1.0,30,0
3.1,173,1
5.7,194,1
4.0,164,1
5.2,114,1
1.0,25,0
0.5,140,1
1.8,98,0
0.8,91,0
5.1,122,1
0.3,129,1
0.4,10,0
2.4,125,1
4.0,104,0
2.7,165,1
5.4,158,1
4.8,135,1
2.4,114,1
0.5,41,0
3.7,104,1
2.8,80,0
2.5,104,0
1.4,113,0
1.8,192,1
2.0,65,0
6.1,158,1
3.0,73,0
4.1,178,0
2.5,82,0
2.2,125,0
3.5,75,1
5.0,141,1
1.0,44,0
3.5,144,1
3.0,123,1
0.7,141,1
1.4,33,0
1.0,31,0
3.8,83,0
1.6,88,0
2.4,118,1
5.4,98,0
2.0,61,0
7.8,139,0
5.0,133,1
3.0,63,0
6.3,130,1
5.9,123,1
0.0,138,0
6.1,170,1
6.0,171,1
4.4,130,1
2.8,118,1
0.3,28,0
0.2,60,0
4.0,103,1
8.6,179,0
2.1,50,0
2.3,184,1
0.2,9,0
1.1,175,1
0.6,78,0
2.6,72,0
3.5,99,1
2.6,82,0
1.3,42,0
1.5,155,1
3.6,83,1
3.0,105,1
0.2,149,1
1.0,62,0
6.3,193,1
