m2,dist,price
49,12.8366862835969,40000
96,6.287216825925265,190000
32,6.034125477245423,55000
50,18.111389166009793,45000
144,8.385961380890242,205000
45,18.589115745583943,35000
38,18.17355525481622,45000
55,18.432868433847737,40000
58,6.836958302392866,75000
100,13.180160501887606,115000
33,13.06259792413296,35000
120,2.486356862479507,170000
38,15.560526597794803,30000
62,8.289950042800095,49700
45,18.7527320128666,40000
65,4.603861572843927,110000
78,7.911024754632417,63000
56,9.149409866359978,70000
42,11.747792229007027,42000
108,13.71989453637726,100000
42,7.489652947011411,37000
133,9.258635458545648,220000
93,35.98118771162892,49999
44,13.830697430030153,37000
58,14.01721624938555,52000
49,7.225287485383592,45000
58,6.515290747602254,60000
61,3.960972119167162,110000
98,15.053761455231829,90000
39,10.343411086567048,58000
53,10.527304896761716,65000
38,20.779091072168914,45000
35,18.41380533286499,26000
55,11.864699062436594,58000
48,15.57664988846355,42000
67,36.52663800379269,35000
47,12.79141515869399,45000
49,2.7846046404369935,55000
200,4.935312830415848,450000
38,26.575558807806733,35000
32,10.98204743812234,45000
110,4.109540272181061,110000
80,16.33127241573836,60000
55,9.742013538635169,40000
54,9.607762268686647,65000
120,13.857505396602452,140000
90,23.453993807752862,55000
34,6.267904280740988,55000
40,23.26593520000105,32000
54,5.205321335655506,75000
37,8.307861796082621,41000
80,14.915717451542289,60000
155,9.855076333941671,145000
38,4.94557428343952,52000
44,11.65985943465781,37000
33,17.796544844322376,35000
186,4.989385522309478,430000
36,12.939693941071138,30000
45,9.83265995749527,45000
142,12.071915961268289,140000
42,17.206233537260847,27000
41,10.379818635763137,50000
120,20.46025901535264,100000
81,13.008669058650424,70000
120,13.381348236966137,100000
50,4.389487750958814,70000
35,11.488583992363768,36000
65,8.767874243184524,75000
50,20.238673853941627,35000
65,10.333478604647624,75000
39,17.93179339221251,35000
33,9.359718337732396,35000
45,13.314213464598746,50000
71,1.5809536397792825,120000
100,7.00173830305871,95000
56,12.82461179967266,47000
41,3.908732441462434,80000
43,5.115797600180292,60000
50,11.130810919467262,50000
73,22.339610442333875,45000
31,8.548454054899247,56000
86,56.2966032919592,30000
30,8.985157156215127,50000
31,12.642299366085611,45000
145,1.7311027323539407,220000
60,9.76058809593291,45000
45,16.057354151007914,42000
81,3.2133496394889858,105000
48,9.983059061197126,55000
104,7.478938796133368,120000
50,6.592756609076214,55000
33,8.848385460582994,36000
54,7.99199952492391,65000
77,0.851631182083481,200000
92,5.957512078368361,120000
65,10.223213396922862,60000
61,6.5108821906396805,60000
42,18.572974359795037,25000
38,35.451651171926784,23000
49,4.421709881458162,67000
42,9.661955568158186,50000
53,10.626885620272876,50000
175,3.603022900323503,285000
23,15.266781253758989,33000
43,12.052464860376729,65000
90,4.103430763559928,120000
43,8.046971913026029,52000
50,17.20525708288108,32000
42,12.385296327559065,35000
135,8.935856333139668,170000
95,2.104577312820924,135000
70,8.570213613861412,48000
63,14.50236074474167,53000
122,3.370391751389701,160000
45,17.566794942345982,35000
44,11.137889042282817,37000
64,9.186431198825046,75000
30,4.844194935119555,40000
58,14.23537629463683,50000
34,15.591238902199333,40000
58,2.7189514456214208,100000
51,12.72437989570752,45000
68,21.49050017472974,50000
50,22.209372824659997,37000
64,10.32522993764518,60000
38,2.529361173411768,75000
65,8.510966208241193,69000
35,18.17319396706553,29000
60,16.886897504451113,65000
40,15.076049291917824,43000
35,18.52922702676915,35000
65,8.585133702402166,75000
65,8.257190365295237,65000
100,2.414195430264729,155000
65,23.702649301393382,41000
48,15.934352639127814,70000
130,1.3382415859651675,290000
36,10.432777294520234,32000
55,12.175508471496284,50000
107,18.33937503340087,55000
62,2.6048324841526083,150000
41,3.2982653055196183,90000
55,2.339395544296561,95000
35,2.6127187826150844,67000
54,1.6673343560578284,80000
38,5.3039204881544295,50000
103,5.715995451392413,100000
55,1.485154151501417,99000
65,3.640925814169482,250000
48,16.63072893754382,40000
120,1.751842070383471,150000
50,1.3404337487874334,100000
43,7.099420319408051,45000
74,13.779456611036652,50000
47,14.60958363028851,40000
42,6.523193294517691,60000
69,5.707362642641716,95000
26,11.727337119337031,27000
45,11.39128666592342,37000
160,2.158782858193432,190000
74,20.328073979124056,50000
170,5.255606628802542,600000
